1 "ABBOTT, HARVEY L."
2 "ACZEL, JANOS D."
3 "AGOH, TAKASHI"
4 "AHARONI, RON"
5 "AIGNER, MARTIN S."
6 "AJTAI, MIKLOS"
7 "ALAOGLU, LEONIDAS*"
8 "ALAVI, YOUSEF"
9 "ALLADI, KRISHNASWAMI"
10 "ALON, NOGA"
11 "ANDERSON, JAMES MILNE"
12 "ANDRASFAI, BELA"
13 "ANKENY, NESMITH C.*"
14 "ANNING, NORMAN H.*"
15 "ARKIN, JOSEPH"
16 "ARNEY, DAVID C."
17 "ARONOV, BORIS"
18 "ASH, J. MARSHALL"
19 "ASHBACHER, CHARLES D."
20 "AVIS, DAVID M."
21 "BABAI, LASZLO"
22 "BABU, GUTTI JOGESH"
23 "BAGEMIHL, FREDERICK"
24 "BALOG, ANTAL"
25 "BANKOFF, LEON*"
26 "BARAK, AMNON BRACHA"
27 "BATEMAN, PAUL T."
28 "BAUMGARTNER, JAMES E."
29 "BEASLEY, LEROY B."
30 "BECK, ISTVAN"
31 "BEHZAD, MEHDI"
32 "BEJLEGAARD, NIELS"
33 "BENKOSKI, STANLEY J."
34 "BERGELSON, VITALY"
35 "BERGER, MARC ARON"
36 "BERTRAM, EDWARD A."
37 "BIALOSTOCKI, ARIE"
38 "BLASS, ANDREAS R."
39 "BLECKSMITH, RICHARD"
40 "BLEICHER, MICHAEL N."
41 "BOALS, ALFRED J."
42 "BOAS, RALPH PHILIP, JR.*"
43 "BOES, DUANE C."
44 "BOLLOBAS, BELA"
45 "BONAR, DANIEL D."
46 "BONDY, JOHN ADRIAN"
47 "BONNET, ROBERT"
48 "BOROSH, ITSHAK"
49 "BOSAK, JURAJ"
50 "BOVEY, JOHN D."
51 "BRENNER, JOEL LEE*"
52 "BRILLHART, JOHN D."
53 "BRINDZA, BELA"
54 "BROWN, THOMAS CRAIG"
55 "BROWN, WILLIAM G."
56 "BUCK, R. CREIGHTON*"
57 "BUKOR, JOZEF"
58 "BURR, STEFAN ANDRUS"
59 "BUSOLINI, DONALD TERENCE"
60 "CACCETTA, LOUIS"
61 "CALKIN, NEIL J."
62 "CAMERON, PETER J."
63 "CANFIELD, E. RODNEY"
64 "CARROLL, FRANCIS W."
65 "CATER, FRANK S."
66 "CATES, MARSHALL L."
67 "CATLIN, PAUL A.*"
68 "CHALK, JOHN H. H."
69 "CHARTRAND, GARY"
70 "CHEN, CHUAN CHONG"
71 "CHEN, GUANTAO"
72 "CHEN, HANG"
73 "CHEN, ROBERT W."
74 "CHINN, PHYLLIS ZWEIG"
75 "CHOI, SHIU LUN GODFREY"
76 "CHOWLA, SARVADAMAN*"
77 "CHUI, CHARLES KAM-TAI"
78 "CHUNG, FAN RONG K."
79 "CHUNG, KAI-LAI"
80 "CHVATAL, VACLAV"
81 "CLARK, BRENT N."
82 "CLARK, LANE HENRY"
83 "CLARKSON, JAMES ANDREW*"
84 "CLUNIE, JAMES G."
85 "COHEN, STEPHEN D."
86 "COLBOURN, CHARLES J."
87 "CONWAY, JOHN HORTON"
88 "COPELAND, ARTHUR H., SR.*"
89 "CROFT, HALLARD T."
90 "CSAKI, ENDRE"
91 "CSISZAR, IMRE"
92 "CZIPSZER, JANOS"
93 "DARLING, DONALD A."
94 "DARST, RICHARD B."
95 "DAVENPORT, HAROLD*"
96 "DAVIES, ROY O."
97 "DAYKIN, DAVID E."
98 "DE BRUIJN, NICOLAAS GOVERT"
99 "DE CAEN, DOMINIQUE"
100 "DE KONINCK, JEAN-MARIE"
101 "DEBOSE, YOLANDA"
102 "DEHEUVELS, PAUL"
103 "DELEGLISE, MARC"
104 "DENES, JOZSEF"
105 "DESHOUILLERS, JEAN-MARC"
106 "DEUBER, WALTER A.*"
107 "DEZA, MICHEL-MARIE"
108 "DIAMOND, HAROLD GEORGE"
109 "DIRAC, GABRIEL ANDREW*"
110 "DIXMIER, JACQUES"
111 "DOWKER, YAEL NAIM"
112 "DRAKE, DAVID A."
113 "DUDLEY, UNDERWOOD"
114 "DUKE, RICHARD A."
115 "DVORETZKY, ARYEH"
116 "ECKLUND, EARL F., JR."
117 "EDREI, ALBERT*"
118 "EGGLETON, ROGER B."
119 "EL-ZAHAR, MOHAMED H."
120 "ELEKES, GYORGY"
121 "ELLIOTT, PETER D. T. A."
122 "ENTRINGER, ROGER C."
123 "ERNE, MARCEL"
124 "EVANS, ANTHONY B."
125 "FABER, VANCE"
126 "FAJTLOWICZ, SIEMION"
127 "FAUDREE, RALPH J."
128 "FEJES TOTH, LASZLO"
129 "FELDHEIM, ERVIN*"
130 "FELLER, WILLIAM*"
131 "FELZENBAUM, ALEXANDER GERSH"
132 "FEW, LEONARD"
133 "FISHBURN, PETER C."
134 "FODOR, GEZA*"
135 "FON-DER-FLAASS, DMITRI G."
136 "FOWLER, JOEL C."
137 "FOWLER, TOM G."
138 "FRAENKEL, AVIEZRI S."
139 "FRANKL, PETER"
140 "FREEDMAN, ALLEN R."
141 "FREIMAN, GREGORY A."
142 "FREUD, GEZA*"
143 "FREUD, ROBERT"
144 "FRIED, ERVIN"
145 "FRIED, HANS*"
146 "FUCHS, WOLFGANG HEINRICH JOHANNES*"
147 "FUREDI, ZOLTAN"
148 "GAL, ISTVAN SANDOR"
149 "GALAMBOS, JANOS"
150 "GALLAI, TIBOR*"
151 "GALVIN, FRED"
152 "GERENCSER, LASZLO"
153 "GILLIS, JOSEPH E.*"
154 "GILLMAN, LEONARD"
155 "GIMBEL, JOHN GORDON"
156 "GINZBURG, ABRAHAM"
157 "GODDARD, WAYNE D."
158 "GODSIL, CHRISTOPHER DAVID"
159 "GOLDBERG, MARK K."
160 "GOLOMB, MICHAEL"
161 "GOODMAN, ADOLPH W."
162 "GORDON, BASIL"
163 "GOULD, RONALD J."
164 "GRAHAM, RONALD L."
165 "GRAHAM, SIDNEY W."
166 "GRANVILLE, ANDREW J."
167 "GRIESER, DANIEL"
168 "GRILL, KARL"
169 "GRUBER, PETER MANFRED"
170 "GRUNBAUM, BRANKO"
171 "GRUNWALD, GEZA*"
172 "GUNDERSON, DAVID S."
173 "GUPTA, HANSRAJ*"
174 "GUY, MICHAEL J. T."
175 "GUY, RICHARD K."
176 "GYARFAS, ANDRAS"
177 "GYORI, ERVIN"
178 "GYORY, KALMAN"
179 "HAJNAL, ANDRAS"
180 "HALASZ, GABOR"
181 "HALL, RICHARD ROXBY"
182 "HAMBURGER, PETER"
183 "HAMMER, JOSEPH"
184 "HANANI, HAIM*"
185 "HANSON, DENIS"
186 "HARARY, FRANK"
187 "HARCOS, GERGELY"
188 "HARDY, GEORGE EUGENE"
189 "HARE, WILLIAM R."
190 "HARNER, CHARLES C."
191 "HARTMAN, STANISLAW*"
192 "HARTTER, ERICH"
193 "HARZHEIM, EGBERT"
194 "HATTINGH, JOHANNES H."
195 "HECHLER, STEPHEN H."
196 "HEDETNIEMI, STEPHEN T."
197 "HEDRLIN, ZDENEK"
198 "HEGYVARI, NORBERT"
199 "HEILBRONN, HANS ARNOLD*"
200 "HELL, PAVOL"
201 "HEMMINGER, ROBERT L."
202 "HENNING, MICHAEL A."
203 "HENRIKSEN, MELVIN"
204 "HERZOG, FRITZ*"
205 "HERZOG, MARCEL"
206 "HICKERSON, DEAN R."
207 "HIGGS, DENIS A."
208 "HILDEBRAND, ADOLF J."
209 "HINDMAN, NEIL"
210 "HOBBS, ARTHUR M."
211 "HOFFMAN, ALAN J."
212 "HOGGATT, VERNER E., JR.*"
213 "HOLTON, DEREK ALLAN"
214 "HOLZMAN, RON"
215 "HORAK, PETER"
216 "HORVATH, MIKLOS"
217 "HOWORKA, EDWARD"
218 "HSU, DERBIAU FRANK"
219 "HUNT, GILBERT AGNEW"
220 "HWANG, JUN SHUNG"
221 "INDLEKOFER, KARL-HEINZ"
222 "INGHAM, ALBERT EDWARD*"
223 "IVIC, ALEKSANDAR"
224 "JABOTINSKY, ERI*"
225 "JACKSON, STEPHEN CRAIG"
226 "JACOBSON, MICHAEL S."
227 "JAGOTA, ARUN KUMAR"
228 "JANSON, SVANTE"
229 "JARNIK, VOJTECH*"
230 "JIN, GUO PING"
231 "JONES, FRED B."
232 "JOO, ISTVAN*"
233 "JOO, MIKLOS"
234 "KAC, MARK*"
235 "KAINEN, PAUL C."
236 "KAKUTANI, SHIZUO"
237 "KAPLANSKY, IRVING"
238 "KARAMATA, JOVAN*"
239 "KATAI, IMRE"
240 "KE, ZHAO (KO, CHAO)"
241 "KELLY, PAUL JOSEPH*"
242 "KENNEDY, JOHN W."
243 "KESTELMAN, HYMAN*"
244 "KHARE, SATGUR PRASAD"
245 "KIERSTEAD, HENRY A."
246 "KISS, PETER"
247 "KLAMKIN, MURRAY S."
248 "KLAWE, MARIA MARGARET"
249 "KLEITMAN, DANIEL J."
250 "KLUGERMAN, MICHAEL"
251 "KNAPPENBERGER, J."
252 "KOCZY, LASZLO A."
253 "KOHAYAKAWA, YOSHIHARU"
254 "KOKSMA, JURJEN FERDINAND*"
255 "KOLESNIK, GRIGORI"
256 "KOMJATH, PETER"
257 "KOMLOS, JANOS"
258 "KOMORNIK, VILMOS"
259 "KOREN, ISRAEL"
260 "KOSTOCHKA, ALEXANDR V."
261 "KOVARI, TAMAS"
262 "KRANTZ, STEVEN GEORGE"
263 "KRATSCH, DIETER"
264 "KRIVELEVICH, MICHAEL"
265 "KROO, ANDRAS V."
266 "KUBICKA, EWA MARIE"
267 "KUBICKI, GRZEGORZ"
268 "KUNEN, KENNETH"
269 "LACAMPAGNE, CAROLE B."
270 "LAM, PETER CHE BOR"
271 "LARSON, JEAN A."
272 "LASKAR, RENU C."
273 "LEFMANN, HANNO"
274 "LEHEL, JENO"
275 "LEHNER, JOSEPH"
276 "LENGYEL, BELA A."
277 "LEV, VSEVOLOD F."
278 "LEVEQUE, WILLIAM JUDSON"
279 "LEWIN, MORDECHAI"
280 "LI, WEN-CH'ING WINNIE"
281 "LICK, DON R."
282 "LINIAL, NATHAN"
283 "LIU, JIUQIANG"
284 "LOEBL, MARTIN"
285 "LORENTZ, GEORGE GUNTHER"
286 "LOVASZ, LASZLO"
287 "LOXTON, JOHN H."
288 "LUCZAK, TOMASZ"
289 "MACINTYRE, ARCHIBALD JAMES*"
290 "MAGIDOR, MENACHEM"
291 "MAHLER, KURT*"
292 "MAIER, HELMUT"
293 "MAKAI, ENDRE, JR."
294 "MAKKAI, MICHAEL"
295 "MALDE, PARESH J."
296 "MALOUF, JANICE L."
297 "MARCUS, SOLOMON"
298 "MATE, ATTILA"
299 "MAUDUIT, CHRISTIAN"
300 "MAULDIN, R. DANIEL"
301 "MAXSEIN, THOMAS"
302 "MAYS, MICHAEL E."
303 "MCCANNA, JOSEPH E."
304 "MCELIECE, ROBERT J."
305 "MCKAY, BRENDAN D."
306 "MEIR, AMRAM"
307 "MELFI, GIUSEPPE"
308 "MEYER, ANJA GABRIELE"
309 "MILLS, GEORGE HARLOW"
310 "MILNER, ERIC CHARLES*"
311 "MINC, HENRYK"
312 "MIRSKY, LEONID*"
313 "MONTGOMERY, HUGH L."
314 "MONTGOMERY, PETER L."
315 "MOON, JOHN W."
316 "MORAN, SHLOMO"
317 "MORTON, PATRICK"
318 "MOSER, LEO*"
319 "MULLIN, RONALD C."
320 "MURTY, MARUTI RAM"
321 "MURTY, VIJAYA KUMAR"
322 "NATHANSON, MELVYN B."
323 "NESETRIL, JAROSLAV"
324 "NETANYAHU, ELISHA*"
325 "NEVEU, JACQUES"
326 "NEWMAN, DONALD J."
327 "NEY, PETER E."
328 "NICOLAS, JEAN-LOUIS"
329 "NIVEN, IVAN*"
330 "NORTON, DONALD A."
331 "O'NEIL, PATRICK EUGENE"
332 "OBLATH, RICHARD*"
333 "ODLYZKO, ANDREW M."
334 "OELLERMANN, ORTRUD R."
